"video_id","feature_names"
"facebook10154139977725891","Beverage, Drink, Alcohol, Jar, Juice, People, Human, Person, Plant, Flora, Cocktail, Beer Glass, Beer, Glass, Chocolate, Food, Dessert, Logo, Trademark, Wood"
"facebook10154154181763387","Trademark, Logo, Transportation, Airplane, Playing Guitar, Plant, Flora, Bush, Vegetation, Adventure, Field, Gliding, Glider, Grassland, Outdoors, Word, Hemp, Aircraft, Shoe, Footwear"
"facebook10154155424129205","Human, Person, People, Table, Indoors, Furniture, Pool Table, Clock, Digital Clock, Room, Billiard Room, Speech, Crowd, Audience, Electronics, Screen, TEXT_TOP_RIGHT, Monitor, LCD Screen, TEXT_MIDDLE_CENTER"
"facebook10154158978483387","People, Person, Human, Figurine, Trademark, Logo, Poster, Animal, Scarf, Clothing, Mammal, Seahorse, Sea Life, Feather Boa, Paper, Brochure, Flyer, Hair, Black Hair, Pollen"
"facebook10154159067773387","People, Person, Human, Ornament, Pearl, Jewelry, Building, Architecture, Window, Skylight, Blonde, Cosmetics, Jennifer Aniston, Girl, Female, Glass, Sphere, Toe, Electrical Device, Poster"
"facebook10154162334083387","Porch, Door, Balcony, Building, Logo, Trademark, Word, Night, Nature, Aurora, Housing, House, Villa, Outdoors"
"facebook10154171999460891","Person, Human, People, Anthony Bourdain, Jar, Plant, Flora, Pottery, Vase, Potted Plant, Michael Angelakos, Shirt, Clothing, Back, Word, Molding, Trademark, Fridge, Refrigerator, Logo"
"facebook10154172347210891","Plywood, Wood, Logo, Trademark, Sewer, People, Person, Human, Drain, Ornament, Ring, Jewelry, Plant, Food, Bbq, Flora"
"facebook10154180297998387","Airplane, Transportation, Aircraft, Logo, Trademark, Adventure, Gliding, Leisure Activities, Word, Flag, Airliner"
"facebook10154187151390891","People, Person, Human, Food, Bbq, Donut, Pastry, Dessert, Trademark, Logo, Jar, Flora, Plant, Potted Plant, Pottery, Meat Loaf, Vase, Meatball"
"facebook10154196839688387","Human, Person, People, Fabrizio Frizzi, Animal, Dog, Hound, Basket, Flora, Plant, Ivy, Jar, Pottery, George O'Leary, Pet, Boxer, Bulldog, Pointer, Veterinarian, Doctor"
"facebook10154201910828387","Universe, Astronomy, Outer Space, Space, Sphere, Earth, Planet, Globe, People, Human, Person, Mouth, Lip, Tongue, Suitcase"
"facebook10154205357565891","Human, People, Person, Food, Dessert, Logo, Trademark, Chocolate, Fudge, Animal, Kid, Baby, Newborn, Child, Brownie, Cake, Biscuit, Cookie, Invertebrate, Cockroach"
"brightcove4854993959001","Automobile, Car, Transportation, Vehicle, Convertible, Coupe, Sports Car, Jaguar Car, Human, People, Person, TEXT_TOP_LEFT, Engine, TEXT_BOTTOM_CENTER, Emblem, Machine, Tire, Motor, Wheel, Car Wheel"
"brightcove5468499118001","Transportation, Car, Automobile, Sports Car, Vehicle, Coupe, Brochure, Paper, Poster, Flyer, TEXT_TOP_LEFT, Wheel, Word, Human, People, Person, Spoke, Alloy Wheel, Machine, Logo"
"brightcove5496379302001","Person, Human, People, Car, Automobile, Transportation, Vehicle, Taxi, Cab, Pavement, Sidewalk, Path, Walkway, Logo, Trademark, TEXT_BOTTOM_RIGHT, Furniture, Chair, Brake, Word"
"brightcove5536942355001","Human, Person, People, Plywood, Wood, Transportation, Motorcycle, Vehicle, Suitcase, Car, Automobile, Convertible, Furniture, Engine, Luggage, Building, Coupe, Sports Car, Machine, Trademark"
"brightcove5593412175001","Car, Automobile, Transportation, Vehicle, Coupe, Sports Car, TEXT_TOP_RIGHT, Convertible, Road, Freeway, Logo, Trademark, Nature, Headrest, Gauge, Highway, Gravel, Dirt Road, Engine, Home Decor"
"brightcove5595611686001","Transportation, Vehicle, TEXT_TOP_LEFT, Home Decor, Car, Automobile, Van, Headrest, Cushion, Road, Convertible, TEXT_BOTTOM_LEFT, TEXT_BOTTOM_CENTER, Human, People, Person, Limo, Logo, Trademark, Clothing"
"brightcove5596903211001","Transportation, Automobile, Car, Vehicle, Sports Car, Coupe, Human, Person, People, Driving, Sedan, Mirror, Car Mirror, Road, Freeway, Steering Wheel, Gauge, TEXT_MIDDLE_CENTER, Trademark, Logo"
"brightcove5598877709001","Transportation, Human, Person, People, Vehicle, Automobile, Car, Sports Car, Coupe, Driving, Engine, Machine, Motor, Road, Convertible, Freeway, Highway, Airplane, Tunnel, Motorcycle"
"brightcove5726732274001","Car, Automobile, TEXT_BOTTOM_RIGHT, Transportation, Coupe, Sports Car, Vehicle, Lamp, Tarmac, Asphalt, Word, Nature, People, Human, Person, Soil, Tunnel, Ferris Wheel, Amusement Park, Leisure Activities"
"brightcove5747024559001","Transportation, Human, People, Person, Motorcycle, TEXT_BOTTOM_LEFT, TEXT_BOTTOM_RIGHT, TEXT_BOTTOM_CENTER, Vehicle, Poster, Trademark, Logo, Car, Automobile, Table, Furniture, Shelf, Arrow, Appliance, Electrical Device"
"brightcove5768464713001","Human, People, Person, Car, Automobile, Transportation, Vehicle, Windshield, Coupe, Sports Car, Sedan, TEXT_BOTTOM_LEFT, Trademark, Logo, Toy, Pinata, Flora, Plant, Light, Headlight"
"brightcove5779459371001","Person, Human, People, Beard, Transportation, Automobile, Car, TEXT_TOP_LEFT, Logo, Trademark, Smoke, Train, Vehicle, Airplane, Parking, Parking Lot, Suitcase, Windshield, Luggage, Aircraft"
"brightcove5783837665001","Car, Automobile, Transportation, Vehicle, Person, People, Human, Coupe, Sports Car, Steering Wheel, Suv, Poster, Trademark, Logo, Overcoat, Clothing, Coat, Machine, Turbine, Engine"
"brightcove5785170388001","Transportation, Automobile, Car, Suv, Vehicle, Plant, Flora, Nature, Vegetation, Atv, Path, Trail, Tree, Forest, Trademark, Logo, Animal, Snow Leopard, Jaguar, Wildlife"
"facebook10153552924729205","People, Person, Human, Poster, Crowd, Audience, Speech, Sink, Furniture, Chair, Hand, Handshake, Couch, Plant, Flora, Jar, Pottery, TEXT_MIDDLE_LEFT, TEXT_BOTTOM_LEFT, TEXT_BOTTOM_RIGHT"
"facebook10153883915083387","Human, People, Person, Beard, Harrison Ford, Shop, Pharmacy, Calista Flockhart, Head, Logo, Trademark, Reading, George Clooney, Rick Clunn, Poster, Word, Jar, Plant, Flora, Brochure"
"facebook10153887046989205","Human, People, Person, Crowd, Audience, Speech, Studio, Worker, Trademark, Logo, TEXT_TOP_RIGHT, Ankle, Art, TEXT_MIDDLE_LEFT, TEXT_TOP_CENTER, TEXT_MIDDLE_RIGHT, TEXT_BOTTOM_LEFT, TEXT_BOTTOM_RIGHT, TEXT_MIDDLE_CENTER, TEXT_TOP_LEFT"
"facebook10153985912958387","Human, People, Person, Electronics, Hardware, Trademark, Logo, Studio, Fede Álvarez, Flora, Jar, Plant, Pottery, Vase, Potted Plant, Word, Ornament, Art, Flower, Blossom"
"facebook10154005075859205","Person, People, Human, Clothing, Coat, Overcoat, Suit, Poster, Urban, Building, Trademark, Logo, Collage, TEXT_BOTTOM_CENTER, City, Town, High Rise"
"facebook10154014531058387","Animal, Invertebrate, Insect, Arachnid, Spider, Fly, Asilidae, Butterfly, Logo, Trademark, Word, Mud, Soil, Tarantula, Ant, Ground"
"facebook10154018804520891","Bowl, Meal, Supper, Food, Dinner, Person, Human, People"
"facebook10154049130235891","Person, Human, People, Food, Dessert, Cake, Sphere, Birthday Cake, Dallas Green, Logo, Trademark, Chocolate, Spoon, Ball, Appliance, Oven, Electrical Device, Suitcase, Luggage, Animal"
"facebook10154062721320891","Drink, Beverage, Person, People, Human, Alcohol, Cocktail, Jar, Glass, Cup, Bottle, Juice, Hardwood, Wood, Food, Bacon, Spoon, Cutlery, Pizza, Aluminium"
"facebook10154067833605891","Beverage, Drink, Alcohol, Cocktail, Flora, Plant, Glass, Food, Fruit, Produce, Strawberry, Lemonade, Human, Person, People, Spoon, Cookie, Money, Biscuit, Cup"
"facebook10154116026450891","Flora, Plant, Beverage, Drink, Citrus Fruit, Grapefruit, Food, Fruit, Produce, Lemon, Lemonade, Human, People, Person, Cocktail, Alcohol"
"facebook10154117247645891","Drink, Beverage, Alcohol, Cocktail, Plant, Flora, Glass, People, Person, Human, Produce, Food, Citrus Fruit, Fruit, Grapefruit, Cup, Cucumber, Vegetable, Jar"
"facebook10154151585204205","People, Person, Human, Head, Crowd, Transportation, Vehicle, Adventure, Automobile, Car, Motorcycle, Clothing, Beard, Scarf, Swimwear, Glasses, Water, Sport, Sports, Leisure Activities"
"facebook10154160497910891","Person, People, Human, Food, Burger, Logo, Trademark, Chocolate, Dessert"
"facebook10154164370903387","Person, Human, People, Logo, Trademark, Transportation, Motorcycle, Vehicle, Freeway, Road, Tarmac, Asphalt, Word, Automobile, Car, Race Car, Sports Car, Highway, Footwear, Clothing"
"facebook10154171956410891","Cocktail, Drink, Alcohol, Beverage, Plant, Flora, Fruit, Produce, Food, Grapefruit, Citrus Fruit, Lemon, Strawberry, Glass, Trademark, Logo, Person, Human, People, Bowl"
"facebook10154189579330891","Person, People, Human, Market, Josh Duggar, Wang Nan, Johnson Beharry, Shop, Butcher Shop, Transportation, Rail, Monorail, Kotaro Suzuki, Train Track, Railway, Howie Severino, Vithaya Pansringarm, Food, Bacon, Head"
"facebook10154202127915891","Human, Person, People, Matthew Moy, Öner Erkan, Jar, Plant, Flora, Pottery, Vase, Potted Plant, Yui Mizuno, JV Ejercito, Food, Meal, Breakfast, White Board, Bowl, Oven, Appliance"
"facebook10154219845507922","Human, People, Person, Blonde, Lourdes Mohedano, Female, Girl, Furniture, Chair, Mark Duplass, Woman, Samantha Ronson, Apparel, Clothing, Connor Gibbs, Electrical Device, TV, Electronics, Screen, Television"
"facebook10154220517158387","Human, People, Person, Bix Beiderbecke, Astronomy, Word, Logo, Trademark, Outer Space, Universe, Space, Astronaut, Planet, Soil, Denden Lazaro, Nature, Camping, Inflatable, Jānis Jubalts, Mountain"
"facebook10154221996679205","Human, Person, People, Poster, Flyer, Paper, Brochure, Text, Word, TEXT_TOP_RIGHT, TEXT_MIDDLE_CENTER, TEXT_MIDDLE_RIGHT, TEXT_MIDDLE_LEFT, Trademark, Logo, Blonde, Audience, Speech, Crowd, Handshake"
"facebook10154229604763387","Trademark, Logo, Human, Person, People, Text, Word, Nail, Manicure, Glider, Airplane, Transportation, Aircraft, Poster, Flyer, Paper, Brochure"
"facebook10154235267785891","Drink, Beverage, People, Person, Human, Cocktail, Alcohol, Jar, Flora, Plant, Grapefruit, Citrus Fruit, Fruit, Produce, Food, Logo, Trademark, Lemon, Pottery, Lemonade"
"facebook10154238356835891","Drink, Beverage, Alcohol, Cocktail, People, Human, Person, Dessert, Food, Trademark, Logo, Ashtray"
